,CAD_NUM,NomCadastre,Nom_complet,X (UTM 18 Sud),Y (UTM 18 Sud),Alt.,Dev. Topo,Termine?,Dev.estimé,Prof.,UP,Commentaire,Explorateurs
54,ENT_101001,Abri2,Abri,476162.0,4461336.0,2,,oui,,,2008,Occupation humaine,
53,ENT_102001,Porche,Porche,476260.0,4449342.0,30,,oui,30,,2008,3 entrées,
364,ENT_102002,PuntaEspolon,Punta espolon,474766.0,4451367.0,ca 50 m,,NON,200,??,2017,"Exploration Anthony, Yannick, Gelo et Franck, lors de l'incursion sur le Pacifique du 05-02-17. Petite cavité de pied de falaise, rejoignant plusieurs entrées. Un passage inférieur permet de rejoindre un petit actif, se terminant de part et d'autre sur siphon. Explo terminée.",
52,ENT_104001,Abri1,Abri,475478.0,4450597.0,5,,oui,,,2008,Occupation humaine,
55,ENT_104002,CuevaRien,Cueva Rien,475729.0,4450525.0,,,oui,,,2008,3 grottes,
47,ENT_105001,CuevaRapido1,Cueva Rapido1,482677.0,4454593.0,20,,oui,240,45,2008,3 entrées,
48,ENT_105001,CuevaRapido2,Cueva Rapido2,482677.0,4454593.0,30,,oui,150,30,2008,2 entrées,
50,ENT_106002,Porche,Porche,490289.0,4451286.0,70,,oui,50,,2008,Porche,
46,ENT_106002,ResurgenceNoTime,Résurgence NoTime,490289.0,4451286.0,3,,non,70,8,2008,Débit estimé: 1m3-s,
45,ENT_106002,CuevaNoTime,Cueva No Time,490289.0,4451286.0,35,,non,640,-15-+25,2008,2 entrées,
49,ENT_106004,CuevaNutria,Cueva Nutria,490541.0,4453870.0,20,,oui,50,20,2008,Occupation humaine,
51,ENT_106006,Grotte,Grotte,490604.0,4450548.0,,,oui,35,,2008,,
435,ENT_106019,LosTresRios,Los Tres Rios,488833.0,4451227.0,325,,,,,2006ITA,,
437,ENT_106020,CuevaDelDragon, Cueva del Dragon,489409.0,4452098.0,187,,,,,2006ITA,,
438,ENT_106021,CuevaDelZorro, Cueva del Zorro,490088.0,4452354.0,105,,,,,2008ENG,,
58,ENT_107001,CuevaDesLosPescadores,Cueva des los Pescadores,482449.0,4444663.0,40,200.0,oui,,40,2008,résurgence,
329,ENT_107002,ResurgenceXXX,Résurgence XXX,478634.0,4447073.0,0,220.0,non,220,24,2017,Résurgence sous le nveau de la mer,
340,ENT_107003,DeuxGrottes,Deux grottes (double entree),478906.0,4446437.0,?,,non,5,?,2017,Repéré le 25-01 par Buldo,
341,ENT_107004,ChattiereQuiBuffle,Chattiere qui buffle,482761.0,4445427.0,?,,non,100,?,2017,"Arrêt sur rien, à poursuivre (prendre equipement)",
342,ENT_107005,GouffreDeLaGrotte,Gouffre de la grotte ,479065.0,4447905.0,436,,non,?,?,2017,"A descendre. Repéré le 25-02-2017 par Natalia, Jean Marc, Laurent, Joël (Nord camp du nid du condor)",
345,ENT_107006,EmergenceDesTuyaux,Emergence des tuyaux ( rameur),479490.0,4447336.0,?,,non,?,?,2017,"(pas sûr des coordonnées utm) (coordonnées : 50°077223 - 075°18.0107) Dans la baie d'accès au plateau nord, coté ouest. Au pied de falaise. Escalade possiblement à faire ( escalade faite par lionel ,denis,david)",
343,ENT_107006,MilleEtUneCascade,Mille et une cascade,479490.0,4447336.0,361,,non,?,?,2017,"Descendu jusqu'à -20. Arret sur lèvre d'un P10 arrosé qui surplombe un gros puits.
Proche et à l'Est du camp du nid du condor",
344,ENT_107007,GouffreDuCampDuNidDuCondor,Gouffre du camp du nid du condor,479389.0,4447402.0,311,,,20,15,2017,Etroit.. Mais continue!! Impenetrable,
354,ENT_107009,GouffreChameau,Gouffre du Chameau,479556.0,4447204.0,380,162.0,oui,162,113,2017,"A proximité du camp du champignon, arrêt sur trop étroit à la cote -113m",
356,ENT_107010,PerteDuPointG,perte du Point G,478796.0,4448311.0,420,,oui,35,20,2017,"Bouché, débit de perte lors de la recon environ 5 L-s",
365,ENT_107011,CuevaCaboVertical,Cueva d'el cabo vertical,476133.0,4447399.0,39,345.0,oui,345,18--14,2017,"Exploration Anthonyet Denis lors de l'incursion sur le Pacifique du 05-02-17.Explo y topo 15-02,Natalia,Buldo,Anton,Richard y Angel. Terminado.Gran porche con tubo-fisura ascendente por el lado sur con pequeño aporte que se cierra. Al norte rampa que lleva a tubo horizontal de buen tamaño, que termina en un pozo de 8 m. que enfrente recibe aporte que abajo del pozo se sifona.",
366,ENT_107012,CouleeBlanche,Porche de la coulée blanche,482764.0,4445438.0,25 (estimation),84.0,non,84,26,2017,"Le grand porche visible en entrant à droite dans la Bahia Blanca. Repéré par Jean-Marc, Jo, Laurent et Franck. Escalade, topo et explo par Yann et Yannick le 13-02017. Escalade de 20 m derrière le porche d'entrée permet de prendre pied dans un méandre, menant d'un côté à un autre porche en hauteur et de l'autre continue. Explo en cours.",
368,ENT_107013,GrotteDesCanelures,Grotte des Canelures,478876.0,4447299.0,"106, donnée GPS surestimée",,non,70,15,2017,"Repérée et explorée le 13-02-17 par  Serge, José, Jean-François, Natalia et Franck. Vaste porche visible de la plage, au départ de l'accès au camp Nord. Montée en 15 min par la forêt puis le long d'une canelure. Méandre parcouru par un faible filet d'eau, exploré sur 50 m sur une branche et 20 sur une autre. Arrêt sur passage étroit, l'explo peut être considérée comme terminée.",
369,ENT_107014,DuchasDeSanPedro,Las Duchas de San Pedro,482357.0,4446971.0,ca 50 m,268.0,oui,268,"45 (-41, +4)",2017,"Découverte par Natalia, Laurent, Jean-Marc et Joël. Deux entrée reliée patr une galerie exondée. Un siphon amont exploré depuis l'entrée inférieur, sûrement en connection avec celui de l'entrée supérieure, mais jonction non faite. Le siphon descend jusqu'à -20, remonte à -5 vers la seconde entrée, puis redescend à -13, terminus des explos. *Siphon de 96 m, -20. ",
370,ENT_107015,EteAustral,Été austral ,480135.0,4447658.0,411,105.0,oui,105,83,2017, Découvert et descendu par Anthonie et Yannick le 7 février ,
371,ENT_107016,TrouDuCarnet,Trou du carnet ,480211.0,4447632.0,429,,oui,20,10,2017,descendu par Yannick pour remonté le carnet tombé par Vicenté le 7 février,
373,ENT_107017,N2,N2,482762.0,4445436.0,?,,oui,30,0,2017,"Prospection et visite , José, Serge et Yannick ",
372,ENT_107017,N1,N1,482762.0,4445436.0,?,,oui,10,0,2017,"Prospection et visite , José , Serge et Yannick ",
374,ENT_107019,GouffreCasque,Gouffre du casque,479879.0,4447862.0,347,1600.0,oui,1600,203,2017,1389m de topo,
382,ENT_107020,CN16-02-1,CN 16-02-1,479373.0,4446955.0,387,,oui,50,40,2017,"Gros gouffre, arrêt à -40",
383,ENT_107021,CN16-02-2,CN 16-02-2,479569.0,4447160.0,387,,non,20,15,2017,Gros porche avec arrêt sur étroit,
384,ENT_107022,MadameCafe,Madame Café,479547.0,4447215.0,384,66.0,oui,66,47,2017,,
385,ENT_107023,CN16-02-4,CN 16-02-4,479795.0,4447413.0,405,,oui,25,25,2017,"Gouffre, arrêt à -25",
386,ENT_107024,CN16-02-5,CN 16-02-5,479591.0,4447357.0,383,,oui,?,15,2017,Trou près du camp nord 3 avec du débit. Il keut à -15,
406,ENT_107026,PN01,PN01,477817.0,4446753.0,60,,,30,10,2019,,
407,ENT_107027,PN02,PN02,477795.0,4446685.0,60,,,15,15,2019,,
408,ENT_107028,GouffreJackpot,Gouffre Jackpot,482804.0,4447950.0,369,,,987,265,2019,,
409,ENT_107029,PerteCirque4,PC4 - Perte Cirque 4,482664.0,4447782.0,362,,,20,12,2019,,
411,ENT_107030,CuevaCascada,Cueva Cascada,478605.0,4447058.0,,,,230,52,2019,,
357,ENT_107031,PuntaBlanca,Cueva de la Punta Blanca,478574.0,4446622.0,?,2287.0,oui,2287,14--44,2017,développement exploré 22,
403,ENT_107031,PuntaBlanca,Punta Blanca,478574.0,4446622.0,,,,3100,,2019,,
317,ENT_108001,OjoDeLaMadre,Ojo de la Madre,484150.0,4446766.0,406,190.0,oui,190,49,2017,"Perte très arrosée, fin sur siphon bas etroit ; depôts fluvio-glaciaires ; spéléothèmes prélevés",
318,ENT_108002,OmbligoDeLaMadre,Ombligo de la Madre,484295.0,4447150.0,365,283.0,oui,283,146,2017,"Belle perte ; 30m x 10m, tube incliné à 45°, rivière cascadante 200L-s. Arrêt sur siphon etroit. ",
319,ENT_108003,Sumidero,Sumidero ,484486.0,4447573.0,,,oui,?,?,2017,Perte active mais dans doline bouchée par éboulement et bois. ,
387,ENT_108004,GouffreLagrimas,Gouffre Lagrimas,484396.0,4447498.0,350,,,355,150,2019,,
320,ENT_108004,LagrimasDeLaMadre,Lagrimas de la Madre,484396.0,4447498.0,294,223.0,non,223,116,2017,"Grand porche 20mx15m ; rivière 200L-s ; exploré en partie arrêt sur R3, explo à poursuivre",
321,ENT_108005,Sumidero,Sumidero,484535.0,4448170.0,198,,oui,?,?,2017,Perte active mais dans doline bouchée par éboulement et bois. ,
322,ENT_108006,Garganta,Garganta,484595.0,4448213.0,180,,oui,,,2017,"Grand porche 20mx20m ; rivière 1m3-s ; très prometteur, à explorer",
323,ENT_108007,Sumidero,Sumidero,484633.0,4448258.0,191,,oui,?,?,2017,Perte active mais dans doline bouchée par éboulement et bois. ,
324,ENT_108008,Utero de la Madre,Utero de la Madre,484956.0,4448483.0,220,770.0,oui,xxx 770,xxx 182,2017,"Descendu sans corde jusqu'au siphon, beaux volumes, rivière active ; traces des inventeurs retrouvées ; shunt possible du siphon par escalade de 4m dans une galerie sup. ",
325,ENT_108009,Sumidero,Sumidero,485157.0,4448585.0,225,,oui,?,?,2017,"Beau porche, bouché par effondrement plafond à quelques mètres de l'entrée, aller voir derrière par le dessus des calcaires. ",
326,ENT_108010,Sumidero,Sumidero,485495.0,4447616.0,317,,oui,?,?,2017,Petite perte étroite explorée sur quelques mètres; impénétrable,
327,ENT_108011,agujero,agujero,486016.0,4447774.0,290,,non,,,2017,"Gouffre bordure SE scandinavie, P15 d'entrée, ruissellements, non descendu",
328,ENT_108012,agujero,agujero,483835.0,4446220.0,417,,non,,,2017,Gouffre bordure SE scandinavieTube à 45° de 2m de diamètre non descendu ; ,
388,ENT_108014,GouffreDeLArche,Gouffre de l'Arche,486742.0,4448369.0,15,,,15,15,2019,,
