X	Y	Z	_ID	_UID	_NAME	_SURVEY	_SURFACE	_FIXED	_ENTRANCE	_CONTINUA_	_COMMENT
490183	4452320	66	"44"	"269"	"44"	a.HaciendasSalinas.106.UltimaPatagonia	"0"	"0"	"1"	"0"	Haciendas Salinas
490088	4452354	105	"173"	"283"	"1"	a.CuevaDelZorro.106.UltimaPatagonia	"0"	"0"	"1"	"0"	Cueva del Zorro
490220	4452363	10	"254"	"263"	"32"	CuevaPirates.106.UltimaPatagonia	"0"	"0"	"1"	"0"	CuevaPirates
490220	4452363	10	"263"	"263"	ENT_106001	106.UltimaPatagonia	"1"	"1"	"0"	"0"	CuevaPirates
490289	4451286	35	"264"	"264"	ENT_106002	106.UltimaPatagonia	"1"	"1"	"0"	"0"	
490289	4451286	3	"265"	"265"	ENT_106003	106.UltimaPatagonia	"1"	"1"	"0"	"0"	
490541	4453870	20	"266"	"266"	ENT_106004	106.UltimaPatagonia	"1"	"1"	"0"	"0"	
490289	4451286	70	"267"	"267"	ENT_106005	106.UltimaPatagonia	"1"	"1"	"0"	"0"	
490604	4450548	0	"268"	"268"	ENT_106006	106.UltimaPatagonia	"1"	"1"	"0"	"0"	
490183	4452320	66	"269"	"269"	ENT_106007	106.UltimaPatagonia	"1"	"1"	"0"	"0"	
490080	4452381	96	"270"	"270"	ENT_106008	106.UltimaPatagonia	"1"	"1"	"0"	"0"	
488815	4453011	186	"271"	"271"	ENT_106009	106.UltimaPatagonia	"1"	"1"	"0"	"0"	
488956	4452962	189	"272"	"272"	ENT_106010	106.UltimaPatagonia	"1"	"1"	"0"	"0"	
488956	4452962	201	"273"	"273"	ENT_106011	106.UltimaPatagonia	"1"	"1"	"0"	"0"	
489317	4452812	224	"274"	"274"	ENT_106012	106.UltimaPatagonia	"1"	"1"	"0"	"0"	
489234	4452876	213	"275"	"275"	ENT_106013	106.UltimaPatagonia	"1"	"1"	"0"	"0"	
487636	4452795	226	"276"	"276"	ENT_106014	106.UltimaPatagonia	"1"	"1"	"0"	"0"	
487474	4452740	218	"277"	"277"	ENT_106015	106.UltimaPatagonia	"1"	"1"	"0"	"0"	
487506	4452738	220	"278"	"278"	ENT_106016	106.UltimaPatagonia	"1"	"1"	"0"	"0"	
487836	4452871	225	"279"	"279"	ENT_106017	106.UltimaPatagonia	"1"	"1"	"0"	"0"	
489278	4452871	216	"280"	"280"	ENT_106018	106.UltimaPatagonia	"1"	"1"	"0"	"0"	
488833	4451227	325	"281"	"281"	ENT_106019	106.UltimaPatagonia	"1"	"1"	"0"	"0"	
489409	4452098	187	"282"	"282"	ENT_106020	106.UltimaPatagonia	"1"	"1"	"0"	"0"	
490088	4452354	105	"283"	"283"	ENT_106021	106.UltimaPatagonia	"1"	"1"	"0"	"0"	
482804	4447950	369	"284"	"1281"	"0"	Jackpot.107.UltimaPatagonia	"0"	"0"	"1"	"0"	Jackpot
478699.7	4446570.0	0	"391"	"1278"	"1"	ResurgenceHongo.107.UltimaPatagonia	"0"	"0"	"1"	"0"	R̩surgence Hongo
479556	4447204	380	"457"	"1262"	"8"	GouffreChameau.107.UltimaPatagonia	"0"	"0"	"1"	"0"	Gouffre du Chameau
476133	4447399	39	"459"	"1264"	"0"	CaboVertical.107.UltimaPatagonia	"0"	"0"	"1"	"0"	Cueva Cabo Vertical
482357	4446971	50	"493"	"1267"	A5	DuchasDeSanPedro.107.UltimaPatagonia	"0"	"0"	"1"	"0"	Las duchas de San Pedro
479879	4447862	347	"640"	"1272"	"0"	Casque.107.UltimaPatagonia	"0"	"0"	"1"	"0"	Gouffre Casque
478831.61	4446350.67	50.28	"799"	"799"	"0"	PuntaBlanca.107.UltimaPatagonia	"0"	"0"	"1"	"0"	Cueva de la Punta Blanca
478849.3	4446471.18	31.33	"1114"	"1114"	"0"	ChattiereQuiBuffle.107.UltimaPatagonia	"0"	"0"	"1"	"0"	Chatti̬re qui buffle
478634	4447073	0	"1164"	"1255"	"0"	BahiaBlanca.107.UltimaPatagonia	"0"	"0"	"1"	"0"	R̩surgence de la Bahia Blanca
482764	4445438	25	"1212"	"1265"	"0"	CouleeBlanche.107.UltimaPatagonia	"0"	"0"	"1"	"0"	Porches de la coul̩e blanche
479547	4447215	384	"1253"	"1275"	"5"	MadameCafe.107.UltimaPatagonia	"0"	"0"	"1"	"0"	Madame Caf̩
