,cadnum,secteur,complete_name,name,comment,X_UTM18S,Y_UTM18S,altitude,length,depth,explorers,exped,latitude,longitude,carto,explo_status
0,101001,undefined,Abri,Abri2,Occupation humaine,476162.0,4461336.0,2,,,,UP2008,-49.9998227,-75.3326205,,
1,102001,Résurgence<br>Ouest,Porche,Porche,3 entrees,476260.0,4449342.0,30,,,,UP2008,-50.1076985,-75.3319965,,
2,102002,Résurgence<br>Ouest,Punta espolon,PuntaEspolon,"Exploration Anthony, Yannick, Gelo et Franck, lors de l'incursion sur le Pacifique du 05-02-17. Petite cavite de pied de falaise, rejoignant plusieurs entrees. Un passage inferieur permet de rejoindre un petit actif, se terminant de part et d'autre sur siphon. Explo terminee.",474766.0,4451367.0,ca 50 m,,??,,UP2017,-50.0894246,-75.3527555,,
3,104001,undefined,Abri,Abri1,Occupation humaine,475478.0,4450597.0,5,,,,UP2008,-50.0963796,-75.3428517,,
4,104002,undefined,Cueva Rien,CuevaRien,3 grottes,475729.0,4450525.0,,,,,UP2008,-50.0970375,-75.3393471,,
5,105001,Grand Lac,Cueva Rapido1,CuevaRapido1,2 entrees,482677.0,4454593.0,30,,20,,UP2008,-50.0606938,-75.2420198,,
6,105002,Grand Lac,Cueva Rapido2,CuevaRapido2,2 entrees,482677.0,4454593.0,30,,30,,UP2008,-50.0606938,-75.2420198,,
7,105003,Grand Lac,Perte3GrandLac,Perte3GrandLac,Perte pointee par Franck et Cedric,486516.0,4451903.0,212,0.0,0,"Franck Brehier, Cedric Roques ",UP2023,-50.0849868,-75.1884803,,
8,105004,Grand Lac,PE25,PE25,"Perte sur contact potentiellement interessante, necessite travaux de stabilisation, objectif non prioritaire. Explore et pointe par Franck et Jessica le 02.02.2023, ",485866.0,4451776.0,171,0.0,0,"Franck, Jessica",UP2023,-50.0861139,-75.1975707,,
9,105005,Grand Lac,PE26,PE26,"Grosse perte bouchee, sur contact gres calcaires du secteur grand lac. Explore et pointe par Franck et Jessica le 02.02.2023, ",485492.0,4451765.0,173,0.0,0,"Franck, Jessica",UP2023,-50.0862038,-75.2027990,,
10,105006,Grand Lac,ResurgenceGrandLac1,ResurgenceGrandLac1,Resurgence sur le grand lac a faire en neoprene. Exploree et pointee par Franck et Jessica le 03.02.2023.,485231.0,4451318.0,17,0.0,0,"Franck, Jessica",UP2023,-50.0902176,-75.2064646,,
11,105007,Grand Lac,ResurgenceGrandLac2,ResurgenceGrandLac2,"Resurgence sur le grand lac a faire en neoprene, entre les graviers et la plage. Exploree et pointee par Franck et Jessica le 03.02.2023.",485115.0,4451010.0,16,0.0,0,"Franck, Jessica",UP2023,-50.0929848,-75.2080982,,
12,105008,Grand Lac,ResurgenceGrandLac3,ResurgenceGrandLac3,Resurgence sur le grand lac. Exploree et pointee par Franck et Jessica le 03.02.2023.,484745.0,4450974.0,12,0.0,0,"Franck, Jessica",UP2023,-50.0932992,-75.2132724,,
13,105009,Grand Lac,ResurgenceGrandLac4,ResurgenceGrandLac4,Resurgence impenetrable avec siphon. Exploree et pointee par Franck et Jessica le 03.02.2023.,483857.0,4451675.0,14,0.0,0,"Franck, Jessica",UP2023,-50.0869711,-75.2256573,,
14,105010,Grand Lac,ResurgenceGrandLac5,ResurgenceGrandLac5,Grosse resurgence sous-lacustre. Exploree et pointee par Franck et Jessica le 03.02.2023.,483696.0,4452175.0,31,0.0,0,"Franck, Jessica",UP2023,-50.0824697,-75.2278865,,
15,105011,Grand Lac,PerteDuGrandLac,PerteDuGrandLac,Perte principale du grand lac. Exploree et pointee par Franck et Jessica le 03.02.2023.,483535.0,4452769.0,24,0.0,0,"Franck, Jessica",UP2023,-50.0771230,-75.2301113,,
16,106001,Egg,Cueva Pirates,CuevaPirates,resurgence (courant d'air arrêt sur puits),490220.0,4452363.0,10,370.0,40,,UP2008,-50.0809221,-75.1366939,,
17,106002,Egg,Porche,Porche,Porche,490289.0,4451286.0,70,,,,UP2008,-50.0906096,-75.1357569,,
18,106003,Egg,Resurgence NoTime,ResurgenceNoTime,,490289.0,4451286.0,3,,,,UP2008,-50.0906096,-75.1357569,,
19,106004,Egg,Cueva Nutria,CuevaNutria,Occupation humaine,490541.0,4453870.0,20,,20,,UP2008,-50.0673734,-75.1321701,,
20,106005,Egg,Porche,Porche,,490289.0,4451286.0,70,,,,UP2008,-50.0906096,-75.1357569,,
21,106006,Egg,Grotte,Grotte,,490604.0,4450548.0,,,,,UP2008,-50.0972522,-75.1313714,,
22,106007,Egg,Haciendas Salinas,HaciendasSalinas,,490183.0,4452320.0,66,,,,unknown,-50.0813082,-75.1372122,,
23,106008,Egg,Caracara,Caracara,,490080.0,4452381.0,96,,,,unknown,-50.0807579,-75.1386502,,
24,106009,Egg,PE1,PE1,Plateau Egg 1; non descendu à cause de blocs instables,488815.0,4453011.0,186,,,,unknown,-50.0750692,-75.1563124,,
25,106010,Egg,PE2,PE2,Plateau Egg 2; environ 40 m avec un meandre retrecissant,488956.0,4452962.0,189,,,,unknown,-50.0755126,-75.1543434,,
26,106011,Egg,PE3,PE3,Plateau Egg 3; non descendu; blocs instables,488956.0,4452962.0,201,,,,unknown,-50.0755126,-75.1543434,,
27,106012,Egg,PE4,PE4,Plateau Egg 4; aussi PL22 bloque après 15 m,489317.0,4452812.0,224,,,,unknown,-50.0768683,-75.1493025,,
28,106013,Egg,PE5,PE5,Plateau Egg 5; puits entre deux canyons de surface; fin sur 10 m,489234.0,4452876.0,213,,,,unknown,-50.0762912,-75.1504607,,
29,106014,Egg,PE6,PE6,Plateau Egg 6,487636.0,4452795.0,226,,,,unknown,-50.0769886,-75.1727961,,
30,106015,Egg,PE7,PE7,Plateau Egg 7,487474.0,4452740.0,218,,,,unknown,-50.0774798,-75.1750620,,
