From,To,Length(m),Azimuth(deg),Clino(deg)
# Equated stations
1@a.Anglais2008,1@b.Anglais2008
17@a.Anglais2008,17@b.Anglais2008
17@a.Anglais2008,17@c.Anglais2008
15@a.Anglais2008,15@c.Anglais2008
16@a.Anglais2008,16@c.Anglais2008
23@a.Anglais2008,23@c.Anglais2008
53@b.Anglais2008,53@d.Anglais2008
55@b.Anglais2008,55@d.Anglais2008
21@a.Anglais2008,21@e.Anglais2008
163@d.Anglais2008,163@e.Anglais2008
66@b.Anglais2008,66@e.Anglais2008
100@Pirates2008,44@a.Anglais2008
N1@Pirates2008,24@a.Anglais2008
211@e.Anglais2008,211@PiratesJonction
161@d.Anglais2008,161@PiratesJonction
12@a.Anglais2008,29@PiratesJonction
207@e.Anglais2008,207@DodgyPlumbingResurvey
163@d.Anglais2008,163@PrioriteADroite
156@d.Anglais2008,8@Ascension
6@SalinasNew4,8@a.Anglais2008
10@SalinasNew4,15@PiratesJonction
1@SalinasNew4,0@SalinasNew5
6@SalinasNew5,1@a.Anglais2008
0@SalinasNew3,8@a.Anglais2008
0@PinceMi,74@b.Anglais2008
86@b.Anglais2008,0@UnCaillouDansLaCulotte
66@b.Anglais2008,1@Girafe
9@SiphonAmont,6@DodgyPlumbingResurvey
# End equated stations
2@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,1@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,8.67,136.52,2.00
3@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,2@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,13.91,186.52,37.00
4@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,3@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,4.29,248.52,40.00
5@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,4@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,8.46,243.52,-21.00
5@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,6@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,12.10,36.52,6.00
7@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,6@a.Anglais2008.CuevaPirates.106.UltimaPatagonia,10.70,186.52,8.00
