ID,DIST,DIST_SURF,X,Y,Z,runDEM
"1",0.0000000000,0.0000000000,-73.6126458280,-50.7195952850,965.9169921900,965.9169921900
"2",0.0003783435,6.4179687612,-73.6123681280,-50.7193383290,959.4990234400,959.4990234400
"3",0.0007566870,10.5605469030,-73.6120904280,-50.7190813720,955.3564453100,955.3564453100
"4",0.0011350305,14.8964844200,-73.6118127280,-50.7188244160,951.0205078100,951.0205078100
"5",0.0015133740,15.4609376720,-73.6115350280,-50.7185674600,951.5849609400,951.5849609400
"6",0.0018917175,18.5341798830,-73.6112573280,-50.7183105040,948.5117187500,948.5117187500
"7",0.0022700610,22.3437502140,-73.6109796280,-50.7180535470,944.7021484400,944.7021484400
"8",0.0026484045,27.2333986660,-73.6107019280,-50.7177965910,939.8125000000,939.8125000000
"9",0.0030267480,31.9785158690,-73.6104242280,-50.7175396350,935.0673828100,935.0673828100
"10",0.0034050915,36.6308596340,-73.6101465280,-50.7172826790,930.4150390600,930.4150390600
"11",0.0037834350,42.7490237080,-73.6098688280,-50.7170257220,924.2968750000,924.2968750000
"12",0.0041617785,43.3046878990,-73.6095911280,-50.7167687660,923.7412109400,923.7412109400
"13",0.0045401220,50.5869144720,-73.6093134280,-50.7165118100,916.4589843800,916.4589843800
"14",0.0049184655,58.3398441680,-73.6090357280,-50.7162548540,908.7060546900,908.7060546900
"15",0.0052968090,66.0781254280,-73.6087580280,-50.7159978970,900.9677734400,900.9677734400
"16",0.0056751525,73.8125004370,-73.6084803280,-50.7157409410,893.2333984400,893.2333984400
"17",0.0060534960,82.3222660700,-73.6082026280,-50.7154839850,884.7236328100,884.7236328100
"18",0.0064318395,91.3671879530,-73.6079249280,-50.7152270290,875.6787109400,875.6787109400
"19",0.0068101830,101.5664067100,-73.6076472280,-50.7149700720,865.4794921900,865.4794921900
"20",0.0071885265,113.4824223400,-73.6073695280,-50.7147131160,853.5634765600,853.5634765600
"21",0.0075668700,125.8300786000,-73.6070918280,-50.7144561600,841.2158203100,841.2158203100
"22",0.0079452135,136.5781254800,-73.6068141280,-50.7141992040,830.4677734400,830.4677734400
"23",0.0083235570,147.0605473600,-73.6065364280,-50.7139422470,819.9853515600,819.9853515600
"24",0.0087019005,157.0029301800,-73.6062587280,-50.7136852910,810.0429687500,810.0429687500
"25",0.0090802440,165.6562505000,-73.6059810280,-50.7134283350,801.3896484400,801.3896484400
"26",0.0094585875,169.9648442700,-73.6057033280,-50.7131713790,797.0810546900,797.0810546900
"27",0.0098369310,178.7822270900,-73.6054256280,-50.7129144220,788.2636718800,788.2636718800
"28",0.0102152745,187.5214849100,-73.6051479280,-50.7126574660,779.5244140600,779.5244140600
"29",0.0105936180,193.9248052300,-73.6048702280,-50.7124005100,773.1210937500,773.1210937500
"30",0.0109719615,201.6269536800,-73.6045925280,-50.7121435540,765.4189453100,765.4189453100
"31",0.0113503050,208.7480474400,-73.6043148280,-50.7118865970,758.2978515600,758.2978515600
"32",0.0117286485,214.3974615100,-73.6040371280,-50.7116296410,752.6484375000,752.6484375000
"33",0.0121069920,218.5468755900,-73.6037594280,-50.7113726850,748.4990234400,748.4990234400
"34",0.0124853355,221.5625006200,-73.6034817280,-50.7111157290,745.4833984400,745.4833984400
"35",0.0128636790,223.6005865900,-73.6032040280,-50.7108587720,743.4453125000,743.4453125000
"36",0.0132420225,225.5947272500,-73.6029263280,-50.7106018160,741.4511718800,741.4511718800
"37",0.0136203660,227.8642585300,-73.6026486280,-50.7103448600,739.1816406200,739.1816406200
"38",0.0139987095,230.0400398200,-73.6023709280,-50.7100879040,737.0058593800,737.0058593800
"39",0.0143770530,230.7958992900,-73.6020932280,-50.7098309470,736.2500000000,736.2500000000
"40",0.0147553965,233.3203133800,-73.6018155280,-50.7095739910,733.7255859400,733.7255859400
"41",0.0151337400,235.5468759100,-73.6015378280,-50.7093170350,731.4990234400,731.4990234400
"42",0.0155120835,238.0537118700,-73.6012601280,-50.7090600790,728.9921875000,728.9921875000
"43",0.0158904270,240.5908212800,-73.6009824280,-50.7088031220,726.4550781200,726.4550781200
"44",0.0162687705,242.5537119400,-73.6007047280,-50.7085461660,724.4921875000,724.4921875000
"45",0.0166471140,244.7363291600,-73.6004270280,-50.7082892100,722.3095703100,722.3095703100
"46",0.0170254575,246.8388682600,-73.6001493280,-50.7080322540,720.2070312500,720.2070312500
"47",0.0174038010,249.1484386000,-73.5998716280,-50.7077752970,717.8974609400,717.8974609400
"48",0.0177821445,250.6748058300,-73.5995939280,-50.7075183410,716.3710937500,716.3710937500
"49",0.0181604880,250.9843763800,-73.5993162280,-50.7072613850,716.0615234400,716.0615234400
"50",0.0185388315,251.2246110500,-73.5990385280,-50.7070044290,715.8212890600,715.8212890600
"51",0.0189171750,252.2851579900,-73.5987608280,-50.7067474720,714.7607421900,714.7607421900
"52",0.0192955185,254.3613299000,-73.5984831280,-50.7064905160,712.6845703100,712.6845703100
"53",0.0196738620,255.3281268500,-73.5982054280,-50.7062335600,711.7177734400,711.7177734400
"54",0.0200522055,256.3125019200,-73.5979277280,-50.7059766040,710.7333984400,710.7333984400
"55",0.0204305490,257.4257832400,-73.5976500280,-50.7057196470,709.6201171900,709.6201171900
"56",0.0208088925,259.3242207800,-73.5973723280,-50.7054626910,707.7216796900,707.7216796900
"57",0.0211872360,261.2314473800,-73.5970946280,-50.7052057350,705.8144531200,705.8144531200
"58",0.0215655795,262.9550802300,-73.5968169280,-50.7049487790,704.0908203100,704.0908203100
"59",0.0219439230,264.1406271700,-73.5965392280,-50.7046918220,702.9052734400,702.9052734400
"60",0.0223222665,265.1884788000,-73.5962615280,-50.7044348660,701.8574218800,701.8574218800
"61",0.0224840913,265.8447288200,-73.5961427510,-50.7043249610,702.5136718800,702.5136718800
"62",0.0228331865,268.0927757200,-73.5959312080,-50.7040472610,700.2656250000,700.2656250000
"63",0.0231822818,269.5419945100,-73.5957196660,-50.7037695610,698.8164062500,698.8164062500
"64",0.0235313770,271.0087914300,-73.5955081240,-50.7034918610,697.3496093800,697.3496093800
"65",0.0238804722,272.9169945800,-73.5952965810,-50.7032141610,695.4414062500,695.4414062500
"66",0.0242295675,274.6679711800,-73.5950850390,-50.7029364610,693.6904296900,693.6904296900
"67",0.0245786627,276.8486352700,-73.5948734960,-50.7026587610,691.5097656200,691.5097656200
"68",0.0249277579,278.7294946800,-73.5946619540,-50.7023810610,689.6289062500,689.6289062500
"69",0.0252768531,280.3417994000,-73.5944504110,-50.7021033610,688.0166015600,688.0166015600
"70",0.0256259484,283.3554713000,-73.5942388690,-50.7018256610,685.0029296900,685.0029296900
"71",0.0259750436,285.2070338300,-73.5940273270,-50.7015479610,683.1513671900,683.1513671900
"72",0.0263241388,287.3232448000,-73.5938157840,-50.7012702610,681.0351562500,681.0351562500
"73",0.0266732341,290.6279323200,-73.5936042420,-50.7009925610,677.7304687500,677.7304687500
"74",0.0270223293,292.9199245300,-73.5933926990,-50.7007148610,675.4384765600,675.4384765600
"75",0.0273714245,293.5957058700,-73.5931811570,-50.7004371610,674.7626953100,674.7626953100
"76",0.0277205198,295.7910184000,-73.5929696150,-50.7001594610,672.5673828100,672.5673828100
"77",0.0280696150,298.5566434200,-73.5927580720,-50.6998817610,669.8017578100,669.8017578100
"78",0.0284187102,302.0791043800,-73.5925465300,-50.6996040610,666.2792968800,666.2792968800
"79",0.0287678055,303.7314481600,-73.5923349870,-50.6993263610,664.6269531200,664.6269531200
"80",0.0291169007,306.4921903700,-73.5921234450,-50.6990486610,661.8662109400,661.8662109400
"81",0.0294659959,309.7001982000,-73.5919119030,-50.6987709610,658.6582031200,658.6582031200
"82",0.0298150911,312.6337919800,-73.5917003600,-50.6984932610,655.7246093800,655.7246093800
"83",0.0301641864,314.0917998300,-73.5914888180,-50.6982155610,654.2666015600,654.2666015600
"84",0.0305132816,317.4257842200,-73.5912772750,-50.6979378610,650.9326171900,650.9326171900
"85",0.0308623768,320.1601592500,-73.5910657330,-50.6976601610,648.1982421900,648.1982421900
"86",0.0312114721,322.6435577100,-73.5908541910,-50.6973824610,645.7148437500,645.7148437500
"87",0.0315605673,324.5771514900,-73.5906426480,-50.6971047610,643.7812500000,643.7812500000
"88",0.0319096625,327.8095733800,-73.5904311060,-50.6968270610,640.5488281200,640.5488281200
"89",0.0322587578,331.7539093400,-73.5902195630,-50.6965493610,636.6044921900,636.6044921900
"90",0.0326078530,335.4902374800,-73.5900080210,-50.6962716610,632.8681640600,632.8681640600
"91",0.0329569482,339.7724640500,-73.5897964790,-50.6959939610,628.5859375000,628.5859375000
"92",0.0333060434,341.8212922100,-73.5895849360,-50.6957162610,626.5371093800,626.5371093800
"93",0.0336551387,346.2285187800,-73.5893733940,-50.6954385610,622.1298828100,622.1298828100
"94",0.0340042339,350.4209016100,-73.5891618510,-50.6951608610,617.9375000000,617.9375000000
"95",0.0343533291,355.4003938100,-73.5889503090,-50.6948831610,612.9580078100,612.9580078100
"96",0.0347024244,357.7148469600,-73.5887387670,-50.6946054610,610.6435546900,610.6435546900
"97",0.0350515196,362.0273469800,-73.5885272240,-50.6943277610,606.3310546900,606.3310546900
"98",0.0354006148,366.8886751100,-73.5883156820,-50.6940500610,601.4697265600,601.4697265600
"99",0.0357497101,371.3466829400,-73.5881041390,-50.6937723610,597.0117187500,597.0117187500
"100",0.0360988053,374.3066439000,-73.5878925970,-50.6934946610,594.0517578100,594.0517578100
"101",0.0364479005,379.2656282900,-73.5876810540,-50.6932169610,589.0927734400,589.0927734400
"102",0.0367969958,383.9443392400,-73.5874695120,-50.6929392610,584.4140625000,584.4140625000
"103",0.0371460910,388.4472689400,-73.5872579700,-50.6926615610,579.9111328100,579.9111328100
"104",0.0374951862,390.4130892800,-73.5870464270,-50.6923838610,577.9453125000,577.9453125000
"105",0.0378442814,394.8125033600,-73.5868348850,-50.6921061610,573.5458984400,573.5458984400
"106",0.0381933767,398.9824252500,-73.5866233420,-50.6918284610,569.3759765600,569.3759765600
"107",0.0385424719,402.0566440200,-73.5864118000,-50.6915507610,566.3017578100,566.3017578100
"108",0.0388915671,403.6855503000,-73.5862002580,-50.6912730610,564.6728515600,564.6728515600
