LINE_ID,ID,DIST,DIST_SURF,X,Y,Z,run3DEM
"0","1",0.0000000000,0.0000000000,-73.6126458280,-50.7195952850,975.3476562500,975.3476562500
"0","2",0.0003783435,5.8125000123,-73.6123681280,-50.7193383290,969.5351562500,969.5351562500
"0","3",0.0007566870,7.5312500540,-73.6120904280,-50.7190813720,967.8164062500,967.8164062500
"0","4",0.0011350305,8.8769532321,-73.6118127280,-50.7188244160,966.4707031200,966.4707031200
"0","5",0.0015133740,14.4589844950,-73.6115350280,-50.7185674600,960.8886718800,960.8886718800
"0","6",0.0018917175,20.6835938810,-73.6112573280,-50.7183105040,954.6640625000,954.6640625000
"0","7",0.0022700610,21.7871095710,-73.6109796280,-50.7180535470,953.5605468800,953.5605468800
"0","8",0.0026484045,21.8603527360,-73.6107019280,-50.7177965910,953.4873046900,953.4873046900
"0","9",0.0030267480,26.1572277530,-73.6104242280,-50.7175396350,949.1904296900,949.1904296900
"0","10",0.0034050915,32.4707043270,-73.6101465280,-50.7172826790,942.8769531200,942.8769531200
"0","11",0.0037834350,39.4072277740,-73.6098688280,-50.7170257220,935.9404296900,935.9404296900
"0","12",0.0041617785,40.0908216290,-73.6095911280,-50.7167687660,935.2568359400,935.2568359400
"0","13",0.0045401220,47.9277357010,-73.6093134280,-50.7165118100,927.4199218800,927.4199218800
"0","14",0.0049184655,55.2119153980,-73.6090357280,-50.7162548540,920.1357421900,920.1357421900
"0","15",0.0052968090,62.6035169700,-73.6087580280,-50.7159978970,912.7441406200,912.7441406200
"0","16",0.0056751525,71.5546888530,-73.6084803280,-50.7157409410,903.7929687500,903.7929687500
"0","17",0.0060534960,80.1992201110,-73.6082026280,-50.7154839850,895.1484375000,895.1484375000
"0","18",0.0064318395,88.9365248070,-73.6079249280,-50.7152270290,886.4111328100,886.4111328100
"0","19",0.0068101830,99.5136732510,-73.6076472280,-50.7149700720,875.8339843800,875.8339843800
"0","20",0.0071885265,110.1435560700,-73.6073695280,-50.7147131160,865.2041015600,865.2041015600
"0","21",0.0075668700,121.3496107600,-73.6070918280,-50.7144561600,853.9980468800,853.9980468800
"0","22",0.0079452135,133.4609389000,-73.6068141280,-50.7141992040,841.8867187500,841.8867187500
"0","23",0.0083235570,143.8408217100,-73.6065364280,-50.7139422470,831.5068359400,831.5068359400
"0","24",0.0087019005,154.4189467200,-73.6062587280,-50.7136852910,820.9287109400,820.9287109400
"0","25",0.0090802440,164.8818373500,-73.6059810280,-50.7134283350,810.4658203100,810.4658203100
"0","26",0.0094585875,169.3437514300,-73.6057033280,-50.7131713790,806.0039062500,806.0039062500
"0","27",0.0098369310,177.1845717500,-73.6054256280,-50.7129144220,798.1630859400,798.1630859400
"0","28",0.0102152745,184.3603530100,-73.6051479280,-50.7126574660,790.9873046900,790.9873046900
"0","29",0.0105936180,190.7373061500,-73.6048702280,-50.7124005100,784.6103515600,784.6103515600
"0","30",0.0109719615,197.9472671000,-73.6045925280,-50.7121435540,777.4003906200,777.4003906200
"0","31",0.0113503050,202.9599624200,-73.6043148280,-50.7118865970,772.3876953100,772.3876953100
"0","32",0.0117286485,207.7900405600,-73.6040371280,-50.7116296410,767.5576171900,767.5576171900
"0","33",0.0121069920,212.8945327700,-73.6037594280,-50.7113726850,762.4531250000,762.4531250000
"0","34",0.0124853355,217.8457046500,-73.6034817280,-50.7111157290,757.5019531200,757.5019531200
"0","35",0.0128636790,221.4951187400,-73.6032040280,-50.7108587720,753.8525390600,753.8525390600
"0","36",0.0132420225,224.0068375200,-73.6029263280,-50.7106018160,751.3408203100,751.3408203100
"0","37",0.0136203660,226.1572281700,-73.6026486280,-50.7103448600,749.1904296900,749.1904296900
"0","38",0.0139987095,228.5117203900,-73.6023709280,-50.7100879040,746.8359375000,746.8359375000
"0","39",0.0143770530,228.6875020500,-73.6020932280,-50.7098309470,746.6601562500,746.6601562500
"0","40",0.0147553965,231.6845723900,-73.6018155280,-50.7095739910,743.6630859400,743.6630859400
"0","41",0.0151337400,233.7539083600,-73.6015378280,-50.7093170350,741.5937500000,741.5937500000
"0","42",0.0155120835,235.6103537100,-73.6012601280,-50.7090600790,739.7373046900,739.7373046900
"0","43",0.0158904270,237.6318381200,-73.6009824280,-50.7088031220,737.7158203100,737.7158203100
"0","44",0.0162687705,238.3125022900,-73.6007047280,-50.7085461660,737.0351562500,737.0351562500
"0","45",0.0166471140,239.2128929900,-73.6004270280,-50.7082892100,736.1347656200,736.1347656200
"0","46",0.0170254575,242.0029320800,-73.6001493280,-50.7080322540,733.3447265600,733.3447265600
"0","47",0.0174038010,244.7597680400,-73.5998716280,-50.7077752970,730.5878906200,730.5878906200
"0","48",0.0177821445,246.5439477700,-73.5995939280,-50.7075183410,728.8037109400,728.8037109400
"0","49",0.0181604880,248.3212915600,-73.5993162280,-50.7072613850,727.0263671900,727.0263671900
"0","50",0.0185388315,251.2812525200,-73.5990385280,-50.7070044290,724.0664062500,724.0664062500
"0","51",0.0189171750,253.5175806800,-73.5987608280,-50.7067474720,721.8300781200,721.8300781200
"0","52",0.0192955185,254.6962916800,-73.5984831280,-50.7064905160,720.6513671900,720.6513671900
"0","53",0.0196738620,255.3945339700,-73.5982054280,-50.7062335600,719.9531250000,719.9531250000
"0","54",0.0200522055,257.0761746300,-73.5979277280,-50.7059766040,718.2714843800,718.2714843800
"0","55",0.0204305490,258.6914090500,-73.5976500280,-50.7057196470,716.6562500000,716.6562500000
"0","56",0.0208088925,260.3593778500,-73.5973723280,-50.7054626910,714.9882812500,714.9882812500
"0","57",0.0211872360,261.4550810400,-73.5970946280,-50.7052057350,713.8925781200,713.8925781200
"0","58",0.0215655795,263.7734404400,-73.5968169280,-50.7049487790,711.5742187500,711.5742187500
